lat,lon,weight,offense
32.7531562,-117.2086091,3.0,All Other Offenses
32.78838859,-117.19264,3.0,Theft From Motor Vehicle
32.74971913,-117.106852,4.0,Motor Vehicle Theft
32.54938625,-117.0449701,4.0,Motor Vehicle Theft
32.54938625,-117.0449701,3.0,Stolen Property Offenses
32.54938625,-117.0449701,3.0,Drug/narcotic Violations
32.54938625,-117.0449701,3.0,Drug Equipment Violations
32.54938625,-117.0449701,3.0,All Other Offenses
32.76956812,-117.1695926,3.0,Trespass of Real Property
32.76956812,-117.1695926,3.0,All Other Offenses
32.75165056,-117.121812,3.0,Theft From Motor Vehicle
32.71157111,-117.1564122,3.0,Impersonation
32.76324143,-117.1063045,3.0,All Other Offenses
32.72516756,-117.160174,3.0,Drug/narcotic Violations
32.72516756,-117.160174,3.0,Drug Equipment Violations
32.71057736,-117.1166465,3.0,Theft From Motor Vehicle
32.75524067,-117.2422659,3.0,Drug Equipment Violations
32.75524067,-117.2422659,3.0,All Other Offenses
32.70747124,-117.1594816,3.0,Theft From Motor Vehicle
32.69054583,-117.1023582,9.0,Aggravated Assault
32.58870725,-117.0782836,3.0,Burglary/Breaking & Entering
32.58870725,-117.0782836,4.0,Motor Vehicle Theft
32.58870725,-117.0782836,3.0,Drug Equipment Violations
32.58870725,-117.0782836,3.0,All Other Offenses
32.74812315,-117.2077628,3.0,Forcible Fondling
32.69299024,-117.1717711,3.0,Simple Assault
32.81937793,-117.0557784,3.0,Theft From Motor Vehicle
32.92090138,-117.1711896,3.0,Impersonation
32.83336771,-117.197677,9.0,Robbery
32.83336771,-117.197677,3.0,Drug/narcotic Violations
32.58346925,-117.1060396,3.0,All Other Larceny
32.56225215,-117.0633858,3.0,Burglary/Breaking & Entering
32.7472288,-117.087966,9.0,Aggravated Assault
32.7472288,-117.087966,3.0,Theft From Motor Vehicle
32.86840933,-117.224713,3.0,Burglary/Breaking & Entering
32.79592141,-117.2493638,3.0,Theft of Motor Vehicle Parts/Accessories
32.7721308,-117.2512687,3.0,All Other Offenses
32.70836183,-117.1503322,3.0,Simple Assault
32.70836183,-117.1503322,3.0,Drug/narcotic Violations
32.70836183,-117.1503322,3.0,Driving Under the Influence
32.75136823,-117.2499172,3.0,All Other Larceny
32.71152372,-117.1537442,3.0,Drug/narcotic Violations
32.71152372,-117.1537442,3.0,Drug Equipment Violations
32.71152372,-117.1537442,3.0,All Other Offenses
32.55475025,-117.0438001,3.0,Destruction/Damage/Vandalism of Property
32.55475025,-117.0438001,3.0,Weapon Law Violations
32.55475025,-117.0438001,3.0,All Other Offenses
32.74991722,-117.2303785,3.0,All Other Larceny
32.5549202,-117.050308,3.0,All Other Offenses
32.76695714,-117.1533149,9.0,Robbery
32.83093257,-117.2059381,3.0,Shoplifting
32.55846289,-117.047925,4.0,Motor Vehicle Theft
32.74629707,-117.2092884,3.0,Burglary/Breaking & Entering
32.75903508,-117.1766621,3.0,Theft From Motor Vehicle
32.69937171,-117.1252437,3.0,Destruction/Damage/Vandalism of Property
32.70593978,-117.0937129,3.0,All Other Larceny
32.91540179,-117.18003,3.0,Simple Assault
32.74850819,-117.1314484,3.0,All Other Offenses
32.71659724,-117.1508866,3.0,All Other Offenses
32.75172423,-117.0666016,3.0,Weapon Law Violations
32.68074058,-117.0720142,3.0,All Other Offenses
32.67148934,-117.051662,3.0,Theft of Motor Vehicle Parts/Accessories
32.80609992,-117.2485939,3.0,All Other Offenses
32.70946841,-117.1486196,3.0,Drug Equipment Violations
32.70946841,-117.1486196,3.0,All Other Offenses
32.74648949,-117.2461593,3.0,Destruction/Damage/Vandalism of Property
32.75730423,-117.0845296,9.0,Aggravated Assault
32.75730423,-117.0845296,3.0,Burglary/Breaking & Entering
32.70795081,-117.0194268,3.0,Impersonation
32.76695714,-117.1533149,3.0,All Other Offenses
32.69540668,-117.0936805,3.0,Simple Assault
32.56225215,-117.0633858,4.0,Motor Vehicle Theft
32.7088925,-117.1641214,3.0,Forcible Sodomy
32.7088925,-117.1641214,3.0,Sexual Assault With an Object
32.70632925,-117.1536354,3.0,Simple Assault
32.72983014,-117.223215,3.0,All Other Offenses
32.752897,-117.2075251,3.0,Shoplifting
32.70066839,-117.1449729,9.0,Aggravated Assault
32.71260508,-117.1637341,3.0,All Other Offenses
32.87689567,-117.1851179,9.0,Aggravated Assault
32.87689567,-117.1851179,3.0,Destruction/Damage/Vandalism of Property
32.70738518,-117.1519472,3.0,Curfew/Loitering/Vagrancy Violations
32.98698548,-117.0756377,3.0,Simple Assault
32.87263354,-117.2140066,9.0,Robbery
32.7994352,-117.1103081,3.0,All Other Larceny
32.70969424,-117.1497031,3.0,All Other Offenses
32.83322422,-117.1681115,3.0,All Other Offenses
32.71148925,-117.1601206,3.0,Disorderly Conduct
32.81300724,-117.0089891,9.0,Robbery
32.80500984,-117.1306177,4.0,Motor Vehicle Theft
32.55665441,-117.0624882,4.0,Motor Vehicle Theft
32.78156798,-117.166279,3.0,All Other Offenses
32.58061148,-117.0748294,4.0,Motor Vehicle Theft
32.75104676,-117.223579,3.0,All Other Offenses
32.7586926,-117.0736443,9.0,Aggravated Assault
32.79450442,-117.2559566,3.0,All Other Offenses
32.71050261,-117.150289,3.0,All Other Offenses
32.54381339,-117.0509557,3.0,All Other Offenses
32.54546795,-117.0386723,3.0,All Other Offenses
32.70842913,-117.1519519,3.0,Drug Equipment Violations
32.70634089,-117.1518135,3.0,Disorderly Conduct
32.75053185,-117.2164513,3.0,Drug Equipment Violations
32.71793208,-117.1449646,3.0,Stolen Property Offenses
32.71793208,-117.1449646,3.0,Drug/narcotic Violations
32.71793208,-117.1449646,3.0,Drug Equipment Violations
32.55475025,-117.0438001,3.0,Stolen Property Offenses
32.55475025,-117.0438001,3.0,Drug Equipment Violations
32.68660924,-117.1784311,3.0,All Other Offenses
32.54823857,-117.0346081,3.0,All Other Offenses
32.70947876,-117.1527363,3.0,Drug Equipment Violations
32.71788086,-117.1546414,3.0,Drug/narcotic Violations
32.71788086,-117.1546414,3.0,Drug Equipment Violations
32.70837409,-117.1527901,3.0,Drug/narcotic Violations
32.70837409,-117.1527901,3.0,Drug Equipment Violations
32.70632925,-117.1536354,3.0,Drug/narcotic Violations
32.70632925,-117.1536354,3.0,Drug Equipment Violations
32.70632925,-117.1536354,3.0,Curfew/Loitering/Vagrancy Violations
32.94697289,-117.247518,3.0,Simple Assault
32.71598524,-117.1571821,3.0,Drug/narcotic Violations
32.71598524,-117.1571821,3.0,Drug Equipment Violations
32.79996315,-117.2583466,3.0,All Other Offenses
32.55612684,-117.0542263,4.0,Motor Vehicle Theft
32.57495861,-117.0517311,3.0,Destruction/Damage/Vandalism of Property
32.89444031,-117.1467441,9.0,Aggravated Assault
32.89444031,-117.1467441,3.0,Destruction/Damage/Vandalism of Property
32.89444031,-117.1467441,3.0,Drug/narcotic Violations
32.89444031,-117.1467441,3.0,Drug Equipment Violations
32.98169609,-117.077052,3.0,Shoplifting
33.00016739,-117.0868598,3.0,Driving Under the Influence
32.71158167,-117.1504303,3.0,All Other Offenses
32.58749044,-117.0927053,9.0,Robbery
32.7967073,-117.245845,3.0,Stolen Property Offenses
32.7967073,-117.245845,3.0,All Other Offenses
32.71699324,-117.1544326,3.0,Simple Assault
32.71699324,-117.1544326,3.0,All Other Offenses
32.57211828,-117.0883081,3.0,Burglary/Breaking & Entering
32.79824032,-117.2481376,3.0,Destruction/Damage/Vandalism of Property
32.74883598,-117.12195,9.0,Robbery
32.7514444,-117.0944698,3.0,Drug/narcotic Violations
32.7514444,-117.0944698,3.0,Drug Equipment Violations
32.7514444,-117.0944698,3.0,All Other Offenses
32.7401871,-117.1797814,3.0,All Other Offenses
32.71995247,-117.1630069,3.0,All Other Offenses
32.74445328,-117.2071652,3.0,All Other Larceny
32.74646088,-117.1533722,3.0,Simple Assault
32.74646088,-117.1533722,3.0,All Other Offenses
32.81935665,-117.1819785,3.0,All Other Offenses
32.71263109,-117.1494655,3.0,All Other Offenses
32.69037124,-117.1866841,3.0,Destruction/Damage/Vandalism of Property
32.69037124,-117.1866841,3.0,Drug Equipment Violations
32.74457053,-117.0794701,3.0,Identity Theft
32.74457053,-117.0794701,3.0,All Other Offenses
32.55293971,-116.9358278,4.0,Motor Vehicle Theft
32.56722565,-117.0581104,3.0,Theft From Motor Vehicle
32.71687218,-117.1486566,3.0,All Other Offenses
32.72515835,-117.1629118,3.0,All Other Offenses
32.90663578,-117.1770515,3.0,Shoplifting
32.56722565,-117.0581104,3.0,Destruction/Damage/Vandalism of Property
32.71266082,-117.1547389,3.0,All Other Offenses
32.75379684,-117.2235661,9.0,Aggravated Assault
32.71369015,-117.1582609,3.0,All Other Offenses
32.72108824,-117.1650706,3.0,All Other Offenses
32.70956466,-117.1187338,3.0,All Other Offenses
32.7167551,-117.1620217,3.0,All Other Offenses
32.75784421,-117.1897328,3.0,Theft From Motor Vehicle
32.75784421,-117.1897328,3.0,Destruction/Damage/Vandalism of Property
32.68127792,-117.0604289,3.0,Theft of Motor Vehicle Parts/Accessories
32.70956671,-117.0666347,3.0,Theft From Motor Vehicle
32.75262856,-117.2290577,3.0,All Other Offenses
32.75227251,-117.127765,3.0,Theft From Motor Vehicle
32.68896724,-117.1792231,3.0,Drug/narcotic Violations
32.68896724,-117.1792231,3.0,Drug Equipment Violations
32.82892229,-117.1637842,3.0,Shoplifting
32.70532818,-117.1401292,3.0,Destruction/Damage/Vandalism of Property
32.70841833,-117.1504012,3.0,Drug Equipment Violations
32.8304298,-117.2385637,3.0,Simple Assault
32.70752131,-117.1273203,3.0,Simple Assault
32.70752131,-117.1273203,3.0,All Other Offenses
32.95798319,-117.1125582,3.0,Theft From Motor Vehicle
32.91687382,-117.1206071,3.0,Drug/narcotic Violations
32.72341367,-117.0541464,3.0,Stolen Property Offenses
32.76714754,-117.1485404,3.0,Shoplifting
32.72076079,-117.1015264,3.0,All Other Offenses
32.70738518,-117.1519472,3.0,Drug/narcotic Violations
32.70738518,-117.1519472,3.0,Drug Equipment Violations
32.70738518,-117.1519472,3.0,All Other Offenses
32.71592776,-117.0947254,3.0,All Other Offenses
32.75322443,-117.0998437,3.0,Forcible Fondling
32.75033736,-117.2075166,3.0,Disorderly Conduct
32.76560256,-117.1687703,4.0,Motor Vehicle Theft
32.74753894,-117.2025886,3.0,All Other Offenses
32.78607676,-117.1102065,3.0,All Other Offenses
32.68896724,-117.1792231,3.0,All Other Offenses
32.94188975,-117.2337276,3.0,Theft From Motor Vehicle
32.71603924,-117.1553101,3.0,Drug/narcotic Violations
32.71603924,-117.1553101,3.0,Drug Equipment Violations
32.71603924,-117.1553101,3.0,All Other Offenses
32.72148476,-117.087521,3.0,Simple Assault
32.71676332,-117.1601653,3.0,All Other Offenses
32.73353196,-117.1611477,3.0,Destruction/Damage/Vandalism of Property
32.70264034,-117.1458706,9.0,Aggravated Assault
32.76290517,-117.1412704,3.0,Simple Assault
32.85869607,-117.2554186,3.0,Theft From Motor Vehicle
32.88223222,-117.1816725,3.0,Simple Assault
32.71991388,-117.1692435,3.0,Shoplifting
32.71575664,-117.1602261,3.0,Drug/narcotic Violations
32.71575664,-117.1602261,3.0,Drug Equipment Violations
32.71575664,-117.1602261,3.0,All Other Offenses
32.70753042,-117.1253073,3.0,False Pretenses/Swindle/Confidence Game
32.70753042,-117.1253073,3.0,Drug/narcotic Violations
32.70753042,-117.1253073,3.0,Drug Equipment Violations
32.70753042,-117.1253073,3.0,All Other Offenses
32.83453498,-117.1947299,3.0,Destruction/Damage/Vandalism of Property
32.83453498,-117.1947299,3.0,All Other Offenses
32.91722354,-117.1247167,3.0,All Other Offenses
32.74966201,-117.0998842,3.0,All Other Offenses
32.72118337,-117.055935,3.0,All Other Offenses
32.71376732,-117.1403268,3.0,All Other Offenses
32.74957701,-117.0965802,3.0,Drug/narcotic Violations
32.74957701,-117.0965802,3.0,Drug Equipment Violations
32.74957701,-117.0965802,3.0,All Other Offenses
32.69685645,-117.0919723,4.0,Motor Vehicle Theft
32.76874323,-117.080423,4.0,Motor Vehicle Theft
32.71786831,-117.1593507,3.0,Disorderly Conduct
32.54546795,-117.0386723,9.0,Robbery
32.71158223,-117.1536776,3.0,All Other Offenses
32.72264147,-117.2309578,3.0,Simple Assault
32.75728994,-117.0835383,3.0,All Other Offenses
32.96905078,-117.0964217,9.0,Aggravated Assault
32.77024153,-117.1588513,3.0,Destruction/Damage/Vandalism of Property
32.69799737,-117.1273862,9.0,Aggravated Assault
32.69799737,-117.1273862,3.0,Destruction/Damage/Vandalism of Property
32.89387377,-117.1198685,3.0,Intimidation
32.70632925,-117.1536354,3.0,Impersonation
32.70379103,-117.1475272,3.0,Theft From Motor Vehicle
32.71699324,-117.1544326,3.0,Drug Equipment Violations
32.71699324,-117.1544326,3.0,Curfew/Loitering/Vagrancy Violations
32.74852585,-117.1268648,3.0,Shoplifting
32.5787431,-117.0841088,3.0,Destruction/Damage/Vandalism of Property
32.79139767,-117.2007183,3.0,Theft From Motor Vehicle
32.75347023,-117.1156066,3.0,All Other Larceny
32.56603085,-117.0511101,3.0,Theft From Motor Vehicle
32.82181603,-117.1550147,3.0,All Other Offenses
32.75365715,-117.2114244,3.0,Shoplifting
32.84234319,-117.2199455,3.0,All Other Larceny
32.74694794,-117.1615959,3.0,All Other Offenses
32.75040623,-117.1277595,3.0,All Other Offenses
32.70515946,-117.0563749,3.0,All Other Offenses
32.90108543,-117.1916225,4.0,Motor Vehicle Theft
32.78879258,-117.237574,3.0,Impersonation
32.78814617,-117.2544958,3.0,All Other Offenses
32.8073523,-117.2193189,3.0,All Other Offenses
32.93779014,-117.2519556,3.0,Burglary/Breaking & Entering
32.86805855,-117.2202474,3.0,All Other Larceny
32.73771868,-117.2196579,3.0,Impersonation
32.75903287,-117.0868752,3.0,Simple Assault
32.71074961,-117.0361441,3.0,All Other Offenses
32.74605757,-117.1155518,3.0,Weapon Law Violations
32.77317802,-117.1332242,3.0,Simple Assault
32.77317802,-117.1332242,3.0,Destruction/Damage/Vandalism of Property
32.77317802,-117.1332242,3.0,Disorderly Conduct
32.7549245,-117.0794753,3.0,Simple Assault
32.80928857,-117.2401927,3.0,All Other Offenses
32.78230146,-117.1105193,3.0,All Other Offenses
32.74413143,-117.1168806,3.0,Driving Under the Influence
32.75320523,-117.0975378,3.0,Weapon Law Violations
32.75320523,-117.0975378,3.0,All Other Offenses
32.75524768,-117.1114075,3.0,Burglary/Breaking & Entering
32.69507824,-117.1851991,3.0,All Other Offenses
32.74974711,-117.1168122,3.0,Drug/narcotic Violations
32.74974711,-117.1168122,3.0,Drug Equipment Violations
32.74974711,-117.1168122,3.0,All Other Offenses
32.76691617,-117.2408163,3.0,Driving Under the Influence
32.8273717,-117.2322784,3.0,All Other Offenses
32.71167575,-117.1359476,3.0,Simple Assault
